epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9732,0.5535,0.33307,0.84328,0.80094,0.7094,0.74791,0.60521,0.75659,0.59462,0.9288,0.000232826,0.000232826,0.000232826
2,62.4614,0.59893,0.35681,0.85317,0.79331,0.70759,0.73851,0.59471,0.79826,0.61065,0.94253,0.000466165,0.000466165,0.000466165
3,93.9915,0.64922,0.39954,0.86327,0.76821,0.68864,0.71244,0.55733,0.8597,0.68646,0.97344,0.000694791,0.000694791,0.000694791
4,125.26,0.69498,0.42717,0.87416,0.69346,0.66068,0.67536,0.52722,0.88191,0.84407,0.95649,0.000692794,0.000692794,0.000692794
5,156.539,0.75226,0.50169,0.92674,0.74586,0.65541,0.686,0.53007,0.89587,0.82132,0.94959,0.000685726,0.000685726,0.000685726
6,187.914,0.71555,0.45176,0.8787,0.77448,0.65657,0.71236,0.55111,0.86522,0.71723,0.95773,0.000678657,0.000678657,0.000678657
7,219.282,0.71463,0.44064,0.87855,0.78447,0.65867,0.72676,0.56216,0.89768,0.66649,0.97133,0.000671588,0.000671588,0.000671588
8,250.574,0.7293,0.44223,0.88072,0.78411,0.67008,0.71074,0.55105,0.862,0.7082,0.94141,0.00066452,0.00066452,0.00066452
9,281.231,0.72523,0.44566,0.88139,0.7674,0.64741,0.70265,0.54875,0.89255,0.71188,0.97627,0.000657451,0.000657451,0.000657451
10,313.329,0.71667,0.44397,0.88209,0.80491,0.66879,0.71541,0.55264,0.90333,0.67184,0.96589,0.000650383,0.000650383,0.000650383
11,344.597,0.72199,0.44138,0.88126,0.72347,0.73396,0.72546,0.5683,0.86439,0.67454,0.97238,0.000643314,0.000643314,0.000643314
12,376.285,0.70043,0.42926,0.87675,0.77133,0.70093,0.72821,0.56948,0.8632,0.62667,0.95461,0.000636245,0.000636245,0.000636245
13,407.768,0.70492,0.43173,0.87468,0.77197,0.68901,0.7273,0.57431,0.85428,0.65837,0.95903,0.000629177,0.000629177,0.000629177
14,439.433,0.70242,0.43974,0.88259,0.791,0.65174,0.71801,0.56183,0.83834,0.65244,0.94987,0.000622108,0.000622108,0.000622108
15,470.913,0.71868,0.50433,0.8933,0.76477,0.68461,0.72059,0.57116,0.85295,0.68533,0.96791,0.00061504,0.00061504,0.00061504
16,502.479,0.70062,0.42923,0.87697,0.77356,0.68884,0.71176,0.54886,0.90791,0.65061,0.98093,0.000607971,0.000607971,0.000607971
17,534.088,0.69832,0.42435,0.87422,0.74114,0.72506,0.73041,0.5679,0.85867,0.64165,0.97216,0.000600902,0.000600902,0.000600902
18,565.62,0.68022,0.42759,0.87079,0.75932,0.68517,0.72212,0.57033,0.85366,0.64233,0.97067,0.000593834,0.000593834,0.000593834
19,597.594,0.71871,0.47615,0.89565,0.75631,0.70774,0.72704,0.57512,0.83951,0.66797,0.9542,0.000586765,0.000586765,0.000586765
20,628.041,0.67555,0.42066,0.87476,0.78002,0.66846,0.71167,0.5635,0.82105,0.61532,0.9525,0.000579697,0.000579697,0.000579697
21,660.484,0.68595,0.41612,0.87153,0.76717,0.70052,0.73359,0.57408,0.8297,0.6614,0.94915,0.000572628,0.000572628,0.000572628
