epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2497,1.59638,0.88748,0.95592,0.96414,0.95453,0.97736,0.53074,1.57566,0.74334,0.97422,0.00327485,0.00327485,0.00327485
2,83.3425,1.63276,0.8931,0.96461,0.93934,0.9342,0.96334,0.50076,1.63355,0.82943,0.98996,0.00658638,0.00658638,0.00658638
3,125.744,1.65734,0.91777,0.97369,0.7683,0.74757,0.80212,0.36457,1.8711,1.5794,1.06306,0.00987591,0.00987591,0.00987591
4,166.65,1.68912,0.96121,0.98061,0.67088,0.70029,0.70331,0.32236,1.90432,1.81619,1.06424,0.009901,0.009901,0.009901
5,209.18,1.68496,0.95151,0.98067,0.67056,0.82872,0.74789,0.32778,1.97224,1.90131,1.07169,0.009868,0.009868,0.009868
6,250.097,1.68014,0.91709,0.97574,0.88294,0.89019,0.92732,0.45056,1.76434,1.24798,1.02008,0.009835,0.009835,0.009835
7,292.717,1.68596,0.91146,0.97729,0.87609,0.88558,0.92705,0.46474,1.69537,0.9331,1.00611,0.009802,0.009802,0.009802
8,333.637,1.67098,0.88319,0.96888,0.77571,0.91883,0.84876,0.42561,1.67074,1.53022,0.99958,0.009769,0.009769,0.009769
9,376.136,1.65662,0.87289,0.9687,0.90124,0.87299,0.9253,0.45901,1.7227,0.99462,1.00569,0.009736,0.009736,0.009736
10,417.034,1.64992,0.87228,0.96867,0.90025,0.86001,0.92248,0.47563,1.66934,1.01245,0.99915,0.009703,0.009703,0.009703
11,459.736,1.63538,0.85695,0.96826,0.70022,0.78182,0.71929,0.32596,1.89573,1.90198,1.05527,0.00967,0.00967,0.00967
12,500.626,1.63467,0.83444,0.96368,0.80749,0.92425,0.87434,0.45348,1.60998,1.2459,0.97994,0.009637,0.009637,0.009637
13,543.025,1.62763,0.83109,0.95817,0.94163,0.93299,0.95768,0.50476,1.5991,0.81898,0.97219,0.009604,0.009604,0.009604
14,583.9,1.61981,0.82584,0.95853,0.92122,0.93476,0.95924,0.51399,1.64737,0.86045,0.98366,0.009571,0.009571,0.009571
15,626.374,1.61406,0.81814,0.95552,0.86773,0.92515,0.9381,0.49046,1.62209,1.19594,0.97445,0.009538,0.009538,0.009538
16,667.28,1.60997,0.80955,0.95416,0.9291,0.93874,0.9588,0.50884,1.59528,0.84182,0.97385,0.009505,0.009505,0.009505
17,709.822,1.61402,0.80604,0.95339,0.9582,0.95494,0.97268,0.51894,1.59739,0.73763,0.97144,0.009472,0.009472,0.009472
18,750.688,1.59538,0.79521,0.94872,0.94421,0.95424,0.96487,0.51019,1.61606,0.7674,0.97713,0.009439,0.009439,0.009439
19,793.333,1.59416,0.7896,0.94711,0.96027,0.93074,0.9689,0.49704,1.65903,0.74967,0.98328,0.009406,0.009406,0.009406
20,834.328,1.58231,0.77736,0.94925,0.763,0.94185,0.83998,0.44903,1.60187,1.53979,0.97297,0.009373,0.009373,0.009373
21,876.729,1.58254,0.78175,0.95002,0.96639,0.95558,0.97717,0.52649,1.60763,0.69254,0.97698,0.00934,0.00934,0.00934
